

综合,#genre#
兰溪新闻综合,http://l.cztvcloud.com/channels/lantian/SXlanxi1/720p.m3u8?zzhed
IPV6,#genre#
CCTV-8K 超高清,https://tv.cry33.com/ys4k.php?id=8k
凤凰中文,http://play-flive.ifeng.com/live/06OLEGEGM4G.m3u8
凤凰资讯,http://play-flive.ifeng.com/live/06OLEEWQKN4.m3u8
CCTV,#genre#
卫视,#genre#
山西卫视,http://liveflash.sxrtv.com/live/sxwshd.m3u8?sub_m3u8=true&edge_slice=true
精品,#genre#
足球频道,https://nmglive.imfc.cn/5n1r1c/182396.m3u8
[session-b643dea7] Repository or file not found
自定义-斗鱼,#genre#
斗鱼001,https://www.douyu.com/12284377?dyshid=0-3bdc713d3768387565ec188800001701&dyshci=311
斗鱼0,http://1.94.31.214:35455/douyu/747764
斗鱼1,http://1.94.31.214:35455/douyu/6906628
斗鱼2,http://1.94.31.214:35455/douyu/8009547
斗鱼3,http://1.94.31.214:35455/douyu/218859
斗鱼4,http://1.94.31.214:35455/douyu/12176174
斗鱼5,http://1.94.31.214:35455/douyu/5668371
斗鱼6,http://1.94.31.214:35455/douyu/12143022
斗鱼7,http://1.94.31.214:35455/douyu/2935323
斗鱼8,http://1.94.31.214:35455/douyu/8107217
斗鱼9,http://1.94.31.214:35455/douyu/85894
斗鱼10,http://1.94.31.214:35455/douyu/4332
斗鱼11,http://1.94.31.214:35455/douyu/431460
斗鱼12,http://1.94.31.214:35455/douyu/3637778
斗鱼13,http://1.94.31.214:35455/douyu/276200
斗鱼14,http://1.94.31.214:35455/douyu/6621
斗鱼15,http://1.94.31.214:35455/douyu/434971
斗鱼16,http://1.94.31.214:35455/douyu/310926
斗鱼17,http://1.94.31.214:35455/douyu/1377142
斗鱼18,http://1.94.31.214:35455/douyu/96577
斗鱼19,http://1.94.31.214:35455/douyu/3928
斗鱼20,http://1.94.31.214:35455/douyu/7254536
斗鱼21,http://1.94.31.214:35455/douyu/315457
斗鱼22,http://1.94.31.214:35455/douyu/20415
斗鱼23,http://1.94.31.214:35455/douyu/122402
斗鱼24,http://1.94.31.214:35455/douyu/36337
斗鱼25,http://1.94.31.214:35455/douyu/323876
斗鱼26,http://1.94.31.214:35455/douyu/252802
斗鱼27,http://1.94.31.214:35455/douyu/74374
斗鱼28,http://1.94.31.214:35455/douyu/263824
斗鱼29,http://1.94.31.214:35455/douyu/2793084
斗鱼30,http://1.94.31.214:35455/douyu/508118
斗鱼31,http://1.94.31.214:35455/douyu/52787
斗鱼32,http://1.94.31.214:35455/douyu/1274132
斗鱼33,http://1.94.31.214:35455/douyu/3379942
斗鱼34,http://1.94.31.214:35455/douyu/5635000
斗鱼35,http://1.94.31.214:35455/douyu/322360
斗鱼36,http://1.94.31.214:35455/douyu/8770422
斗鱼37,http://1.94.31.214:35455/douyu/10183347
斗鱼38,http://1.94.31.214:35455/douyu/9651304
斗鱼39,http://1.94.31.214:35455/douyu/300204
漫威,http://1.94.31.214:35455/douyu/11673725
漫威2,http://1.94.31.214:35455/douyu/6140589
漫威3,http://1.94.31.214:35455/douyu/12098568
霍格沃兹,http://1.94.31.214:35455/douyu/8814650
宇宙星河,http://1.94.31.214:35455/douyu/9412981
金庸武侠,http://1.94.31.214:35455/douyu/12128227
TVB电视,http://1.94.31.214:35455/douyu/4373285
短剧,http://1.94.31.214:35455/douyu/11824307
爱情公寓,http://1.94.31.214:35455/douyu/6566658
爱情公寓2,http://1.94.31.214:35455/douyu/6863367
每日小姐姐,http://1.94.31.214:35455/douyu/11531165
MV,http://1.94.31.214:35455/douyu/10308225
车模,http://1.94.31.214:35455/douyu/1360303
车模2,http://1.94.31.214:35455/douyu/10118209
斗鱼舞蹈1,http://1.94.31.214:35455/douyu/6999879
斗鱼舞蹈2,http://1.94.31.214:35455/douyu/5551871
自定义-抖音,#genre#
抖音-万万,http://1.94.31.214:35455/douyin/91022741723
抖音-小冷,http://1.94.31.214:35455/douyin/839515074378
抖音-你的兔妹妹,http://1.94.31.214:35455/douyin/39532690785
抖音-小圆老师,http://1.94.31.214:35455/douyin/19789880514
抖音-姐姐呦,http://1.94.31.214:35455/douyin/37134183731
抖音-釉子妹妹,http://1.94.31.214:35455/douyin/997848427864
抖音-一棵草莓,http://1.94.31.214:35455/douyin/721973318924
抖音-24K小金条,http://1.94.31.214:35455/douyin/793587271917
抖音-小九九peri,http://1.94.31.214:35455/douyin/999700619726
自定义-虎牙,#genre#
虎牙1,http://1.94.31.214:35455/huya/11342412
虎牙2,http://1.94.31.214:35455/huya/396738
虎牙3,http://1.94.31.214:35455/huya/126859
虎牙4,http://1.94.31.214:35455/huya/29140342
虎牙5,http://1.94.31.214:35455/huya/23025
虎牙6,http://1.94.31.214:35455/huya/128391
虎牙7,http://1.94.31.214:35455/huya/631394
虎牙8,http://1.94.31.214:35455/huya/25129377
虎牙9,http://1.94.31.214:35455/huya/26508934
虎牙10,http://1.94.31.214:35455/huya/11602044
虎牙舞蹈1,http://1.94.31.214:35455/huya/327637
虎牙舞蹈2,http://1.94.31.214:35455/huya/51525
虎牙舞蹈2,http://1.94.31.214:35455/huya/29750639
虎牙舞蹈3,http://1.94.31.214:35455/huya/29610122
自定义-YY,#genre#
YY舞蹈1,http://1.94.31.214:35455/yy/22490906
YY舞蹈2,http://1.94.31.214:35455/yy/1414956544
YY舞蹈3,http://1.94.31.214:35455/yy/1453767988
YY舞蹈4,http://1.94.31.214:35455/yy/27874820
YY舞蹈5,http://1.94.31.214:35455/yy/23262001
YY舞蹈6,http://1.94.31.214:35455/yy/1355830235
YY舞蹈7,http://1.94.31.214:35455/yy/1353983693

